playerid,namefirst,namelast,sackposition,sacktype,sackyards,sackend
20130081,Damontre,Moore,DE,1,-1,in bounds
20130081,Damontre,Moore,DE,1,-10,in bounds
20140823,Kerry,Wynn,DE,1,-8,in bounds
20060146,Dawan,Landry,S,1,-11,in bounds
20130066,Sio,Moore,LB,1,-12,in bounds
20080100,Tyvon,Branch,S,1,-19,in bounds
20040027,Jason,Babin,LB,1,-7,in bounds
20020242,Brett,Keisel,DE,1,0,in bounds
20110054,Jaiquawn,Jarrett,S,1,-10,in bounds
20100052,Jason,Worilds,LB,0.5,-1,in bounds
20110031,Cameron,Heyward,DE,1,0,in bounds
20080499,Leger,Douzable,DL,1,-7,in bounds
20100052,Jason,Worilds,LB,1,-6,in bounds
20070066,Usama,Young,S,1,-11,in bounds
20020128,Larry,Foote,LB,1,-9,in bounds
20060134,Kyle,Williams,DT,0.5,-7,in bounds
20140005,Khalil,Mack,LB,1,-10,in bounds
20050074,Justin,Tuck,DE,1,-11,in bounds
20110002,Von,Miller,LB,1,-7,in bounds
